salinity,temperature,humidity,time_of_day,moisture_below_60
0.53,31.2,63,23.8,1
1.11,29.2,70,7.1,1
1.52,31.4,63,7.55,1
1,31.4,63,8.45,1
1.4,30.4,61,9.08,1
1.15,33.2,59,10.12,1
0.45,35.1,53,14.93,1
1.38,31,71,22.32,1
0.67,30.2,75,7.47,1
0.87,30.1,75,8.1,1
0.85,34.4,60,11.72,1
0.45,34.3,53,13.9,1
1.4,31.1,66,20.72,1
1.22,31.1,66,20.78,1
1.23,31.1,66,21.48,1
1.62,31.2,66,21.77,1
1.08,31.2,66,21.95,1
1.79,31.2,63,22.72,1
0.63,31.1,63,23.18,1
0.74,31.1,63,23.25,1
0.98,30.1,70,23.35,1
6.59,31.1,63,21.35,0
1.29,30.2,66,0.28,1
1.49,36.2,50,13.53,1
1.98,36.2,50,13.95,1
0.61,30.2,70,19.98,1
1.96,28.3,84,3.35,1
1.08,28.2,84,5.15,1
1.9,28.3,84,7.58,1
0.46,27,94,23.18,1
0.91,32.3,67,10.07,1
0.74,35.3,56,13.28,1
1.48,35.2,56,14.08,1
1.39,34.3,60,10.75,1
1.7,35,56,12.82,1
1.75,35.2,50,11.55,1
0.95,31,71,17.15,1
1.9,31.1,63,22.75,1
5.8,29.3,75,6.22,0
4.67,35.1,53,13.25,0
4.12,33.3,53,19.08,0
1.79,29.4,66,5.95,1
0.59,30.4,61,9.08,1
1.25,35.4,50,12.43,1
0.99,26.6,81,20.6,1
0.56,30,66,2.35,1
0.65,30,66,2.47,1
1.84,29.2,70,7.08,1
1.68,31.4,63,7.7,1
1.17,33,59,9.73,1
1.2,34.2,60,18.75,1
0.57,31.1,66,21.37,1
1.29,30.1,75,8.63,1
0.48,32.3,67,10.22,1
1.41,34.3,60,12.37,1
1.78,34.3,53,13.5,1
1.08,34.1,53,14.13,1
0.41,35.3,50,14.55,1
0.93,34.2,47,17.7,1
1.53,32.1,63,19.33,1
0.74,30.2,66,0.27,1
1.36,30.2,70,23.63,1
1.48,35.4,53,14.5,1
1.61,35.1,53,12.38,1
0.83,29.3,75,1.15,1
1.23,28.1,79,2.2,1
0.75,34.3,56,12.18,1
0.86,34.3,60,10.3,1
1.15,34.3,63,11.93,1
0.51,35.4,50,12.92,1
1.31,31,71,17.17,1
1.5,30.2,79,20.9,1
1.27,29.1,75,5.55,1
4.4,33.3,63,10.55,0
6.74,33.4,53,18.87,0
6.88,33.4,53,19,0
1.79,33.1,56,18.97,1
1.63,29.4,66,3.73,1
1.69,29.4,66,4.4,1
0.47,29.2,66,4.65,1
1.6,29.1,66,5.77,1
1.57,35.1,50,14.48,1
1.42,31.3,63,20.5,1
1.64,30.2,66,4.17,1
1.39,31.4,63,8.33,1
1.38,33.1,59,10.75,1
0.47,34.1,56,12.32,1
1.61,34.1,56,12.48,1
1.05,34.1,56,13.07,1
0.59,35.2,53,15.85,1
1.69,35.1,53,17.22,1
1.18,34.1,60,18.1,1
1.56,34.1,60,18.13,1
1.15,31.2,66,21.85,1
0.84,27,84,1.7,1
0.79,28.2,84,3.68,1
0.58,29,67,8.53,1
1.94,33.3,63,10.6,1
1.34,35.2,50,14.37,1
1.2,34.2,47,17.82,1
1.44,33.3,59,18.32,1
1.84,32,63,19.68,1
1.33,31.1,66,20.68,1
6.58,31.1,63,21.68,0
1.31,30.1,66,23.82,1
0.66,28.4,79,22.02,1
0.54,28,79,22.13,1
0.84,29.3,75,0.65,1
1.12,29.3,75,0.7,1
0.55,29.3,75,0.95,1
1.32,28.1,79,2.27,1
1.01,29.2,75,3.17,1
0.62,28.2,84,5.25,1
0.88,30,63,9.28,1
1.23,34.4,60,11.43,1
0.85,35.1,56,12.32,1
1.86,35.3,56,13.57,1
1.47,35.4,56,13.85,1
0.86,30.2,70,20.02,1
0.52,35.2,44,12.67,1
1.65,31,63,22.97,1
2.41,30.2,70,0.88,0
1.32,29.9,64,17.73,1
0.94,29.2,66,2.82,1
1.7,29.1,66,3.48,1
0.89,29.4,66,4.38,1
1.54,31.4,66,7.63,1
1.11,33,59,9.82,1
1.32,35.1,50,13.08,1
1.79,36.2,50,14,1
0.68,34.1,53,16.33,1
0.61,34.2,53,16.62,1
0.84,34.1,53,17.1,1
0.66,34.2,56,17.72,1
0.94,32.2,59,20.27,1
0.61,30.3,66,3.17,1
1.37,29.3,70,5.25,1
0.43,29.1,66,6.17,1
0.67,29.2,70,7.13,1
1.89,31.2,63,7.38,1
1.38,35.1,50,14.1,1
1.66,35.1,50,14.27,1
1.57,32.1,63,19.87,1
0.42,32.2,63,20.25,1
1.54,27.1,89,3.2,1
1.44,28.2,84,3.73,1
1.3,28.1,79,4.4,1
1.33,28.2,79,5.07,1
0.93,30.4,75,7.55,1
1.18,30.4,75,7.58,1
1.53,29,67,8.87,1
1.79,32.2,67,9.77,1
1.04,34.2,60,12.3,1
1.54,31.1,66,20.6,1
1.1,31.2,63,22.7,1
3.02,31.1,63,21.83,0
1.96,30.1,66,23.85,1
1.59,33.1,56,18.53,1
1.12,35.1,53,14.7,1
1.98,30.2,70,19.9,1
1.56,29.1,70,23.32,1
0.62,28.4,84,4.47,1
1.22,28.1,84,8.67,1
1.62,33.2,63,10.63,1
1.05,33.4,63,11.2,1
1.69,35.2,56,13.02,1
1.96,35.3,56,13.65,1
1.71,34.4,63,11.6,1
1.56,31.1,71,18.15,1
7.47,30.3,70,7.42,0
5.16,30.3,70,8.32,0
2.32,28.2,72,8.98,0
0.5,35.1,53,15.02,1
1.04,34.2,50,17.43,1
1.46,30.2,66,23.53,1
1.95,30.3,66,0.2,1
1.38,29,66,1,1
1.72,29.4,66,3.62,1
0.75,33,59,10.97,1
0.58,35.1,50,14.35,1
1.21,35.1,50,15.12,1
1.18,32,59,19.35,1
1.95,26.2,84,22.8,1
0.77,30.3,66,0.45,1
0.84,30.1,66,3.75,1
1.17,29.3,70,5.22,1
0.85,29,66,5.67,1
1.88,30.4,61,9.07,1
1.15,35,53,15.57,1
1.07,35,53,16.58,1
0.62,32.1,63,20.77,1
1.67,32.3,63,21.08,1
0.44,31.4,66,21.78,1
0.44,28.1,79,4.32,1
1.89,30.1,75,7.97,1
0.8,30.1,75,8.43,1
0.64,32.2,67,9.57,1
1.21,33.2,63,11.02,1
1.03,34.3,60,12.43,1
1.44,34.3,60,12.48,1
0.94,34.2,60,12.57,1
0.5,34.1,53,14.22,1
1.48,35,50,15.13,1
1.97,33.3,59,19.18,1
0.78,27.1,78,19.62,1
1.21,31.1,63,23.13,1
0.51,35,53,13.32,1
0.88,29.2,75,1.95,1
4.02,33.2,63,12.25,0
1.99,36.2,50,13.65,1
1.83,36.2,50,13.87,1
1.66,35.3,53,14.9,1
1.75,35.3,53,14.92,1
0.46,25.9,88,22.12,1
0.98,29.2,75,1.38,1
1.25,28,79,1.82,1
1.1,28.3,84,7.63,1
0.78,30.4,75,9.98,1
1.37,30.3,75,10.45,1
0.58,33.2,63,10.67,1
1.3,34.1,60,11.67,1
0.82,35.2,56,13.1,1
1.84,34.3,60,10.6,1
0.72,34.4,60,11.1,1
0.86,34.4,60,11.25,1
1.3,34.3,63,12.03,1
1.24,36.1,50,13.98,1
0.53,30.2,66,6.2,1
1.21,31.3,75,19.92,1
7.85,30.1,70,0.75,0
1.6,30.2,70,0.85,1
8.34,30.1,66,3.1,0
1.44,30.3,66,22.93,1
0.78,29.2,66,4.07,1
0.41,33.2,59,10.15,1
1.87,35.4,50,12.32,1
1.14,35.3,56,15.65,1
1.09,33.1,59,19.08,1
1.89,31.4,63,21.17,1
1.59,30.4,61,9.17,1
1.07,34.4,60,17.33,1
1.75,34.1,60,17.65,1
0.43,31.3,71,22.58,1
0.8,28.1,84,6.03,1
1.46,29.1,79,6.32,1
0.63,34.2,60,12.6,1
0.49,33,59,18.67,1
1.2,32.4,63,19.93,1
0.56,31,66,20.93,1
1.35,31.4,63,22.9,1
1.96,31.4,63,22.98,1
0.57,30.1,70,23.28,1
7.62,31.1,63,21.92,0
1.48,28,84,3.73,1
1.57,28.1,84,8.77,1
0.46,34.4,56,11.9,1
1.92,32.1,71,13,1
0.54,34.4,63,13.68,1
1.04,34.2,63,13.87,1
0.92,34.2,63,13.93,1
0.78,32.3,67,10.08,1
0.71,34.4,60,12.08,1
1.98,35.1,56,12.43,1
1.42,30.1,70,19.47,1
1.28,30.2,70,19.98,1
0.61,34.3,60,10.45,1
1.28,30.2,79,20.47,1
0.77,30.2,79,22.13,1
1.29,30,66,1.52,1
1,30.1,66,2.37,1
1.35,34.2,50,17.83,1
1.17,34.2,50,17.9,1
0.42,29,66,2.05,1
1.46,31.2,66,7.42,1
0.83,31.3,66,8.02,1
0.9,33.2,59,9.6,1
0.45,35,50,12.8,1
1.23,35.1,50,15.23,1
1.55,35.2,56,15.85,1
1.87,33.1,59,18.55,1
0.98,32,59,19.53,1
0.67,30,66,3.92,1
1.02,35.4,50,13.85,1
1.57,34.2,60,18.57,1
1.58,28.1,84,3.32,1
0.84,33.3,63,10.28,1
0.73,33.3,63,10.32,1
0.93,34.3,60,12.35,1
0.52,34.3,60,12.5,1
1.53,30.6,61,17.53,1
1.73,32.4,63,19.87,1
1.75,31.1,66,21.55,1
1.68,31.4,63,22.95,1
7.32,32.2,59,19.65,0
1.12,30.1,66,23.78,1
2.72,33.2,63,12.42,0
0.93,31.9,54,14.25,1
1.47,35.4,53,14.52,1
0.57,30.2,70,19.55,1
1.69,28.2,79,1.62,1
1.45,30,63,9.2,1
1.17,30,63,9.47,1
0.54,30.3,75,9.58,1
0.48,33.4,63,10.68,1
1.71,33.4,63,10.8,1
0.7,31.1,71,22.67,1
1.7,30.2,66,5.73,1
1.72,29.2,75,14.87,1
0.76,30.2,79,20.78,1
4.45,33.4,53,18.93,0
7,32.1,59,19.37,0
0.74,29.1,66,1.78,1
1.98,29.2,66,2.92,1
1.57,29.1,66,6.68,1
1.85,36,50,13.68,1
1.24,36.2,50,13.83,1
0.46,31.1,63,22.77,1
1.44,31.2,63,23.6,1
1.31,31.2,63,23.9,1
0.91,30.1,70,1.3,1
0.42,30.1,70,1.82,1
0.62,29.3,70,4.52,1
1.61,29,70,6.37,1
0.85,34.1,56,11.48,1
0.52,34.1,56,12.3,1
0.93,35,53,16.75,1
1.64,34.1,60,18.9,1
0.64,31.3,71,23.3,1
0.83,30.1,75,8.13,1
0.88,34.3,53,13.35,1
1.71,35.3,47,17.07,1
0.55,31.1,66,21.23,1
0.41,31.2,63,22.63,1
1.47,32.5,52,13.55,1
1.14,35.1,53,12.43,1
1.15,30.1,70,20.07,1
1.25,29.1,70,23.45,1
1.27,28,79,1.85,1
0.94,28,79,1.92,1
1.31,28,84,3.77,1
1.76,30.3,75,9.57,1
1.99,34.1,63,13.4,1
1.7,35.1,56,12.35,1
1.98,29.3,79,18.83,1
1,30.2,70,20.03,1
0.78,34.4,60,11.05,1
1.31,34.4,60,11.07,1
0.9,32.2,71,18.43,1
0.53,30.2,79,21.32,1
4.27,31,63,22.35,0
5.39,31.3,63,23.18,0
0.72,35.1,53,15.2,1
0.71,30.1,66,23.58,1
1.28,29.3,66,6.4,1
1.07,31.2,66,7.35,1
1.31,33.3,59,18.83,1
1.69,30.2,66,4.2,1
1.88,29,66,5.57,1
0.45,31.2,63,7.32,1
1.83,31.4,63,8.23,1
0.43,28.6,70,8.8,1
1.98,35.4,50,13.68,1
0.78,35.4,50,13.83,1
1.25,34.2,60,18.63,1
0.64,32.1,63,19.72,1
1.43,32.2,63,20.95,1
1.44,31.3,71,23.18,1
0.64,34.2,53,13.68,1
1.87,34.1,47,18.27,1
0.54,32.4,63,19.83,1
1.57,31.2,66,21.8,1
1.4,31.2,63,22.73,1
1.99,31.4,63,22.8,1
3.13,31.1,63,21.87,0
1.38,30.3,66,23.47,1
0.85,30.1,66,23.7,1
1.41,32.3,52,10.2,1
1.46,28.4,79,21.78,1
1.13,29.3,75,0.68,1
1.16,28,84,3.58,1
0.69,28.1,84,6.72,1
1.48,28.1,84,7.98,1
0.62,28.1,84,8.32,1
0.98,30.3,75,10.35,1
0.65,34.2,56,11.28,1
1.65,34.2,56,11.33,1
1.29,32.1,71,13.17,1
0.67,34.1,63,14.18,1
1.48,34.1,63,14.28,1
1.7,28.3,89,0.08,1
0.8,28.1,89,1.48,1
0.76,28.4,89,3.13,1
0.93,34.4,60,12.12,1
1.89,29.2,79,15.5,1
1.72,30.2,70,16.33,1
0.44,34.3,60,10.78,1
0.6,34.4,63,12.12,1
1.26,31.1,71,17.42,1
1.89,32.3,71,18.57,1
1,30.1,66,23.8,1
8.7,30,66,1.35,0
0.49,30.3,70,7.77,1
1.17,33.1,59,9.4,1
1.25,35.1,53,15.08,1
1.69,29.1,66,2.7,1
1.88,29.3,66,7.13,1
0.84,34.1,56,11.38,1
1.45,34,56,11.63,1
0.83,34.2,53,17.02,1
0.43,33.3,59,19.02,1
1.31,30,66,2.5,1
0.93,30,66,2.8,1
1.09,30.2,66,4.13,1
0.5,35,53,15.53,1
1.74,35,53,15.58,1
0.8,35,53,15.63,1
1.93,35.1,53,17.25,1
1.82,28.3,79,4.72,1
1.35,30.4,75,7.75,1
1.65,30.1,75,7.8,1
1.32,33.3,63,10.33,1
0.4,33,59,18.72,1
0.48,31.2,63,22.57,1
0.9,31.1,63,23.12,1
0.74,30.3,70,0.17,1
0.62,34.2,56,13.28,1
1.37,31.1,71,21.65,1
1.02,32.5,52,13.58,1
1.23,28.2,79,22.8,1
1.96,29.3,75,0.55,1
1.45,29.4,75,2.58,1
1.31,28.1,84,7.22,1
0.69,28.3,84,7.47,1
1.5,33.4,63,10.78,1
1.11,32.1,71,12.75,1
1.74,34.1,63,13.38,1
1.7,34.4,63,13.75,1
1.27,33.4,63,11.27,1
1.16,35.1,56,12.97,1
1.77,35.4,56,13.97,1
0.98,34.4,60,11.08,1
1.02,35.2,50,11.75,1
0.92,29.4,75,15.1,1
1.37,30.2,79,20.37,1
5.37,32.3,63,20.07,0
2.39,30.1,70,0.73,0
7.81,30,66,1.43,0
8.64,30,62,9.1,0
6.87,34.1,50,18.18,0
8.49,33.1,53,18.38,0
1.9,32.2,63,19.47,1
1.11,31.4,66,7.57,1
1.32,31.2,66,8.42,1
0.96,33.2,59,9.28,1
1,33.1,59,18.7,1
1.89,31.3,63,21.85,1
1.25,31.2,63,22.92,1
0.78,31,63,23.27,1
1.7,30.4,61,9.1,1
0.93,34.4,56,12.25,1
0.71,35.4,50,13.55,1
1.55,35.1,50,14.07,1
0.96,34.4,60,19.25,1
0.75,31.2,66,22.05,1
1.77,31.3,71,23.15,1
1.51,28.1,84,5.53,1
1.7,33.3,63,10.45,1
1.09,35.2,50,14.45,1
1.16,35.3,47,16.52,1
6.88,31.1,63,20.98,0
2.62,31.1,63,21.42,0
0.77,32.5,52,13.6,1
1.01,35.2,53,14.72,1
1.8,35.2,53,14.77,1
1.69,36.1,47,15.27,1
1.29,29.2,70,23.62,1
1.31,28.1,79,2.18,1
0.68,28.2,84,4.65,1
1.45,28.3,84,5.03,1
1.71,35.2,56,12.6,1
1.67,35.2,56,14.12,1
1.67,29,79,15.92,1
0.42,26.5,82,19.08,1
1.98,32.3,71,10.2,1
1.47,35,56,12.47,1
1.78,31.2,66,0.25,1
0.8,32,63,16.13,1
8.32,34.2,56,11.9,0
4.75,35.1,50,16.18,0
0.91,34.2,50,17.42,1
0.97,29.3,66,1.32,1
1.02,29.1,66,2.77,1
1.1,29.1,66,6.67,1
1.21,33.1,59,10.4,1
0.43,34.1,56,11.35,1
1.63,34.1,56,11.5,1
1.83,35.1,50,14.3,1
1.15,35.2,56,15.95,1
1.53,33.3,59,18.85,1
1.2,32,59,19.73,1
1.64,31.1,63,21.03,1
1.71,29.3,70,4.78,1
0.63,29,70,6.3,1
1.65,29.2,70,7.17,1
0.45,33.2,59,10.15,1
1.87,34.1,56,11.42,1
1.35,34,56,11.98,1
0.42,35.3,53,16.43,1
1.92,31.1,66,21.48,1
1.64,28.1,79,4.27,1
0.88,30.1,75,8.22,1
1.84,33.2,63,11.12,1
1.22,34.4,60,11.73,1
0.68,34.3,53,13.87,1
1.12,35.4,47,16.57,1
1.1,34.2,47,17.75,1
1.03,33,59,18.68,1
0.51,31.2,66,22.05,1
0.56,30.3,70,23.93,1
1.4,30.3,70,0.22,1
1.68,30.4,66,0.05,1
0.59,32,75,17.42,1
0.89,25.9,88,22.1,1
0.41,28.3,79,22.92,1
1.11,29.1,70,23.35,1
1.89,28.3,84,3.4,1
0.6,28,84,3.6,1
1.14,28.3,84,5.67,1
1.16,28.1,84,6.7,1
1.31,34.2,56,11.7,1
0.81,32.1,71,12.53,1
1.52,32.1,71,12.7,1
0.43,33.4,67,14.58,1
1.46,35.1,56,12.28,1
1.82,35.2,56,13.12,1
0.41,31.4,71,21.82,1
1.25,31.3,66,0.02,1
0.48,31.1,71,17.45,1
3.6,31.2,63,22.13,0
4.65,30.4,66,2.9,0
6.25,30.3,70,8.77,0
7.68,33.4,59,9.55,0
7.25,33.3,59,9.93,0
5.5,33.3,59,10,0
1.95,29.1,66,1.77,1
0.68,29.1,66,2.33,1
0.83,33.4,59,18.52,1
1.71,31.1,63,22.57,1
0.53,31.2,63,22.88,1
1.4,31,63,23.1,1
0.88,30.3,66,0.68,1
1.17,29.3,70,4.8,1
1.97,29,70,6.83,1
0.76,31.2,63,7.97,1
1.91,30.4,61,9,1
1.09,35.1,53,15.45,1
1.09,35,53,16.73,1
0.86,35.4,53,16.77,1
1.94,35.4,53,16.95,1
0.82,28.2,84,3.6,1
1.94,28.1,79,4.87,1
1.07,29.1,79,7.1,1
1.86,29.1,79,7.15,1
1.43,34.1,47,17.35,1
1.89,33.3,59,19.15,1
1.65,30.1,70,23.4,1
1.47,30.3,79,0.48,1
6.47,32.4,59,20.07,0
1.51,34.1,56,11.78,1
0.78,31,71,18.93,1
1.99,28.3,79,21.65,1
1.73,28.2,79,22.63,1
0.92,28.3,79,22.9,1
1.43,28.3,84,4.93,1
1.17,28.3,84,4.95,1
1.82,28.2,84,6,1
1.43,28.1,84,6.45,1
0.97,28.1,84,7.12,1
1.58,28.1,84,8.1,1
0.89,28.1,84,8.75,1
1.83,30.3,75,10.5,1
0.59,34.2,63,13.82,1
1.33,32.3,67,10.22,1
1.49,35.2,56,12.62,1
1.4,34.3,63,11.97,1
0.92,30.2,70,0.85,1
0.48,31.1,75,19.57,1
5.3,30.1,66,23.33,0
6.81,30,70,0.38,0
2.92,30.4,66,2.1,0
4.57,30.3,70,7.6,0
2.26,30.4,70,7.8,0
1.25,29,66,0.97,1
0.68,29.1,66,3.27,1
0.53,29.4,66,4.95,1
0.54,29.3,66,5.18,1
1.51,33.2,59,9.75,1
1.26,35.2,50,12.82,1
0.7,35.1,50,15.08,1
0.51,34.2,53,17,1
1.66,34.2,56,18.07,1
1.77,32,59,19.32,1
0.92,32,59,19.55,1
1.64,31.1,63,21.48,1
1.71,31.3,63,21.93,1
1.64,29,66,5.9,1
1.13,31.4,63,8.38,1
0.72,33.2,59,10.2,1
0.68,34.1,56,13.03,1
1.31,34.1,56,13.28,1
0.67,35,53,15.73,1
1.85,34.2,60,18.52,1
1.06,32.4,63,19.33,1
0.48,28.1,84,3.48,1
1.95,29.1,79,6.75,1
0.52,29,67,8.33,1
1.98,32.3,67,10.18,1
0.98,35.4,47,16.7,1
1.93,30.6,61,17.57,1
1.84,31.1,66,21.28,1
1.67,35.2,47,17.25,1
6.67,31.1,63,21.05,0
7.64,31.1,63,21.77,0
0.58,29.3,75,0.67,1
0.87,28.4,84,3.92,1
1.35,28.3,84,4.97,1
1.54,28.1,84,5.53,1
1.44,28.1,84,7.05,1
1.6,34.4,60,12.23,1
0.41,29.2,79,16.23,1
1.87,35,56,12.32,1
1.89,34.2,60,17.28,1
0.48,33.2,53,19.92,1
1.1,30.4,79,21.93,1
1.97,30.3,66,4.9,1
6.98,29.2,75,6.92,0
0.44,29.2,75,7.02,1
5.62,35.1,53,13.15,0
1.17,30.1,66,23.08,1
1.02,29.1,66,2.52,1
0.42,29.1,66,5.57,1
0.55,31.4,66,7.58,1
1.43,31.4,66,7.73,1
1.89,34.3,56,11.83,1
1.67,31.2,59,16.02,1
0.41,31.4,63,21.07,1
1.48,31.2,63,23.87,1
1.47,30.3,66,0.28,1
1.84,30,66,2.87,1
1.13,34.3,56,12.87,1
0.99,35.1,53,15.27,1
1.28,34.3,60,18.47,1
1.68,32.1,63,19.9,1
1.19,31,71,22.42,1
0.45,27.1,84,1.85,1
0.88,27.4,89,2.53,1
0.96,29.1,79,6.52,1
1.84,32.2,67,9.62,1
0.54,35.1,44,15.42,1
1.55,35.3,47,16.83,1
0.9,31.1,66,21.52,1
1.19,31.1,63,23.15,1
0.62,30.2,70,23.65,1
1.08,30.1,66,23.77,1
0.89,30.2,66,0.23,1
1.09,31.1,63,21.72,1
0.47,30.1,66,23.57,1
1.39,31.1,71,18.27,1
1.22,30.2,70,19.37,1
0.63,30.2,70,19.53,1
0.76,29.3,75,1.3,1
1.53,28.4,84,4.33,1
1.54,28.2,84,6.27,1
1.63,28.1,84,7.92,1
1.78,30,63,9.53,1
0.61,30.3,75,9.75,1
1.91,34.1,63,13.53,1
0.96,32.2,67,9.43,1
0.89,32.1,67,9.88,1
1.48,34.2,60,11.78,1
0.71,35.1,56,12.88,1
1.74,29,84,1.52,1
0.49,30.2,79,21.33,1
0.82,30,79,21.58,1
4.48,31.3,63,21.58,0
8.14,31,63,22.47,0
5.57,31,63,22.5,0
6.17,30.1,70,0.67,0
8.56,30.3,70,7.72,0
0.74,35.4,50,15.98,1
6.37,32.1,59,19.28,0
1.84,29.1,66,2.4,1
1.17,29.1,66,2.58,1
1.93,29.1,66,3.07,1
1.24,29.1,66,6.58,1
1.66,33.2,59,9.73,1
1.73,35.2,50,12.93,1
1.33,35.1,50,14.92,1
1.9,35.3,56,15.62,1
1.4,34.2,53,16.65,1
0.51,34.2,56,18.2,1
1.17,31.1,63,22.58,1
1.38,30.1,66,3.43,1
1.74,34.4,60,17.32,1
1.58,34.1,60,17.75,1
0.71,29.3,75,23.37,1
1.27,28.1,84,5.57,1
0.55,28.1,84,6.05,1
0.51,32.3,67,10.23,1
0.86,33.3,63,10.78,1
0.82,33.2,63,10.95,1
1.61,34.2,60,12.68,1
1.63,35,50,15.02,1
1.79,34.1,47,17.27,1
1.16,34.1,47,17.43,1
0.53,32.1,63,19.45,1
1.31,30.2,70,23.57,1
4.32,31.1,63,21.75,0
1.98,29.3,75,1.63,1
8.32,33.2,63,12.38,0
0.65,32.1,75,17.62,1
1.44,30.2,70,20.02,1
0.67,25.7,89,23.28,1
1.09,29.2,70,23.7,1
0.89,29.3,70,0.18,1
0.69,28.2,84,4.72,1
1.26,30.4,75,10,1
1.05,33.4,63,11.25,1
0.68,34.2,56,11.45,1
1.48,34.1,63,14.25,1
1.4,34.2,60,11.8,1
1.32,35.3,56,13.6,1
1.4,29.2,79,16.15,1
1.38,30.1,70,19.38,1
0.93,30.2,70,19.85,1
1.69,30.1,62,3.67,1
1.23,32.3,71,18.77,1
1.87,30,79,20.72,1
1.73,30,66,1.4,1
1.07,35.1,50,15.55,1
5.65,33.1,53,18.43,0
0.67,33.1,53,18.45,1
2.73,32.1,59,19.47,0
0.67,29.4,66,5.82,1
1.19,28.7,69,8.83,1
1.59,36.2,50,13.78,1
0.85,31.9,54,14.82,1
0.67,33.4,59,18.3,1
0.69,30.3,66,0.75,1
0.91,30.1,66,1.13,1
1.39,29.2,66,5.48,1
0.89,31.4,63,7.58,1
1.41,34.1,56,13.18,1
1.93,35.1,53,14.88,1
0.78,32.1,63,19.68,1
0.93,32.2,63,20.12,1
1.08,28.1,84,3.43,1
1.1,28.1,79,4.98,1
1.56,30.2,75,7.32,1
1.03,34.1,53,14.18,1
1.59,35.2,50,14.33,1
1.39,35.2,50,14.52,1
1.03,35,50,14.88,1
0.43,34.2,47,17.72,1
0.47,30.3,70,23.98,1
7.96,32.4,59,20.27,0
6.83,25.2,87,21.32,0
0.85,30.2,66,23.25,1
0.79,35.4,53,14.45,1
0.64,35.2,53,15.07,1
1.82,30.3,70,19.78,1
1.66,28,79,22.3,1
1.28,29.2,75,0.47,1
0.53,29.2,75,3.05,1
1.9,28.1,84,6.62,1
0.75,28.3,84,7.3,1
0.79,28.1,84,8.28,1
1.79,30.3,75,10.15,1
0.45,34.3,56,12.22,1
1.4,28.2,89,6.23,1
0.53,35.3,56,13.33,1
0.44,29.2,79,15.7,1
1.79,29,79,15.98,1
1.87,34.3,60,10.65,1
1.3,34.2,63,11.4,1
1.7,35,56,12.3,1
1.63,32.4,71,19.23,1
0.52,30.1,66,23.65,1
0.67,30.2,70,1.18,1
1.32,30,66,4.37,1
7.64,30.2,66,5.22,0
4.93,30.3,70,7.45,0
4.09,30.4,70,7.78,0
0.59,35.1,50,15.58,1
0.67,32.1,59,19.82,1
1.1,29.4,66,0.62,1
0.83,29.4,66,1.08,1
1.16,29.4,66,1.25,1
0.76,29.1,66,1.6,1
0.73,29.1,66,3.28,1
1.52,29.3,66,5.45,1
